angle1,angle2,angle3,angle4,angle5,angle6,letra
40,18,12,177,142,100,D
41,19,12,178,145,98,D
40,19,12,177,142,99,D
42,19,11,177,143,98,D
41,19,11,177,142,97,D
38,17,11,179,140,99,D
39,17,12,178,142,98,D
40,18,12,179,143,97,D
40,19,12,179,145,98,D
39,18,12,180,143,97,D
39,18,11,178,147,96,D
41,18,11,179,143,97,D
40,18,10,179,143,95,D
40,18,11,178,141,99,D
41,18,11,178,139,98,D
42,19,11,179,139,99,D
43,19,12,179,139,99,D
41,18,12,179,142,101,D
42,19,12,178,141,101,D
42,19,12,177,141,101,D
41,19,12,178,137,101,D
42,20,13,179,136,102,D
43,20,14,178,137,101,D
42,19,13,179,138,98,D
42,19,12,178,139,99,D
41,18,12,179,139,97,D
41,19,12,179,140,97,D
42,19,12,179,140,99,D
41,19,12,179,139,98,D
43,19,12,178,139,99,D
42,19,12,179,140,98,D
40,19,13,179,139,97,D
40,19,14,179,137,97,D
42,19,13,179,139,97,D
43,20,13,178,140,97,D
42,21,13,178,138,100,D
42,20,13,179,138,100,D
44,21,13,177,139,99,D
44,21,13,177,139,98,D
43,21,13,178,138,98,D
42,20,12,178,137,98,D
44,21,13,179,137,97,D
43,20,13,179,134,98,D
45,21,13,178,134,101,D
45,21,13,179,135,100,D
45,20,12,179,140,99,D
43,19,12,177,143,99,D
42,19,11,179,143,97,D
43,18,11,178,143,97,D
41,18,10,179,140,98,D
40,18,10,179,141,98,D
40,18,11,179,140,98,D
41,19,11,179,138,98,D
39,18,12,178,139,99,D
40,18,11,179,140,100,D
39,17,11,178,140,98,D
40,18,11,178,143,98,D
40,18,13,177,141,99,D
41,19,12,177,141,101,D
41,18,13,177,138,99,D
39,18,13,178,137,99,D
39,17,12,179,137,98,D
40,18,12,178,137,98,D
41,19,13,178,137,98,D
41,19,13,177,135,97,D
42,19,11,177,138,97,D
40,19,13,178,140,97,D
40,17,10,177,138,98,D
40,18,11,178,137,99,D
39,17,10,177,140,98,D
39,16,9,176,139,98,D
41,18,10,178,139,97,D
41,18,11,178,139,97,D
41,19,11,177,139,98,D
74,34,25,75,100,110,E
74,34,27,79,98,110,E
72,32,24,93,101,109,E
68,32,24,88,101,109,E
63,29,23,84,102,110,E
62,27,22,82,102,110,E
70,31,24,82,103,110,E
71,32,25,82,100,108,E
79,35,26,90,100,108,E
78,36,26,85,102,110,E
78,35,27,85,103,110,E
78,37,27,85,103,110,E
76,33,23,111,101,109,E
77,33,24,104,101,109,E
80,34,24,90,102,110,E
80,35,25,90,105,110,E
72,32,24,99,107,111,E
71,32,23,99,108,111,E
72,31,25,92,106,111,E
73,30,24,93,100,107,E
73,30,22,94,102,110,E
69,27,21,90,102,109,E
72,28,22,90,105,110,E
70,30,22,93,105,110,E
63,26,21,97,108,110,E
64,29,24,96,104,110,E
74,31,23,105,103,112,E
79,33,24,105,104,111,E
75,31,25,87,101,110,E
75,32,25,90,102,109,E
77,31,24,91,102,110,E
80,33,23,91,102,110,E
78,32,24,88,101,109,E
80,32,26,112,103,109,E
81,33,24,103,101,109,E
79,34,25,102,101,110,E
79,36,25,91,99,110,E
80,35,25,85,99,109,E
71,33,26,80,100,108,E
72,33,28,80,102,109,E
78,31,24,84,99,110,E
78,31,23,82,99,109,E
85,33,23,91,100,108,E
87,36,25,94,101,109,E
89,36,25,91,100,109,E
84,35,24,94,100,108,E
83,36,26,90,105,107,E
85,36,26,87,101,109,E
77,33,25,76,100,108,E
72,30,23,79,102,110,E
77,29,23,93,103,108,E
